Date,Open,High,Low,Close,Adj Close,Volume
2014-09-17,6430.459961,6516.729980,6414.149902,6476.680176,6258.706055,1059246
2014-09-22,6476.680176,6643.750000,6467.879883,6624.689941,6401.734863,156316
2014-09-23,6624.689941,6682.830078,6549.950195,6566.459961,6345.463867,138135
2014-09-24,6566.459961,6633.879883,6566.459961,6605.839844,6383.518555,80413
2014-09-25,6555.810059,6673.060059,6555.810059,6642.379883,6418.828613,67915
2014-09-26,6642.379883,6721.910156,6643.750000,6710.279785,6484.443848,98204
2014-09-29,6710.279785,6690.250000,6504.029785,6601.540039,6379.363770,112491
2014-09-30,6601.540039,6648.629883,6555.810059,6628.990234,6405.890137,111991
2014-10-01,6601.540039,6648.629883,6555.810059,6628.990234,6405.890137,111991
2014-10-02,6542.040039,6546.040039,6449.319824,6473.649902,6255.777832,230902
2014-10-03,6542.040039,6546.040039,6449.319824,6473.649902,6255.777832,230902
2014-10-06,6521.620117,6559.720215,6449.319824,6507.450195,6288.440430,346032
2014-10-07,6507.450195,6546.140137,6497.189941,6504.520020,6285.609375,330624
2014-10-08,6504.520020,6546.040039,6497.290039,6530.220215,6310.443359,341056
2014-10-09,6504.520020,6546.040039,6497.290039,6530.220215,6310.443359,341056
2014-10-10,6497.189941,6502.180176,6448.339844,6491.819824,6273.336426,294394
2014-10-13,6491.819824,6614.439941,6477.649902,6550.049805,6329.606445,405873
2014-10-14,6550.049805,6604.669922,6404.379883,6573.009766,6351.793457,489701
2014-10-15,6573.009766,6548.000000,6482.629883,6529.830078,6310.066895,105686
2014-10-16,6529.830078,6507.939941,6350.640137,6354.060059,6140.212891,559491
2014-10-17,6354.060059,6448.339844,6155.229980,6211.410156,6002.364258,224067
2014-10-20,6211.410156,6194.319824,6008.680176,6020.600098,5817.975586,257074
2014-10-21,6020.600098,6204.089844,5989.140137,6091.339844,5886.334961,326106
2014-10-22,6091.339844,6139.600098,6057.529785,6065.149902,5861.025391,266516
2014-10-23,6090.750000,6106.379883,6018.350098,6084.109863,5879.347656,179339
2014-10-24,6084.109863,6139.600098,6058.509766,6100.029785,5894.731934,63034
